ServiceDescriptor;ServiceDescriptor._implementationType;ServiceDescriptor._implementationInstance;ServiceDescriptor._implementationFactory;ServiceDescriptor.Lifetime;ServiceDescriptor.ServiceKey;ServiceDescriptor.ServiceType;ServiceDescriptor.ImplementationType;ServiceDescriptor.KeyedImplementationType;ServiceDescriptor.ImplementationInstance;ServiceDescriptor.KeyedImplementationInstance;ServiceDescriptor.ImplementationFactory;ServiceDescriptor.KeyedImplementationFactory;ServiceDescriptor.IsKeyedService
"ServiceType: Microsoft.AspNetCore.Components.Forms.AntiforgeryStateProvider Lifetime: Scoped ImplementationType: Microsoft.AspNetCore.Components.Endpoints.Forms.EndpointAntiforgeryStateProvider";Microsoft.AspNetCore.Components.Endpoints.Forms.EndpointAntiforgeryStateProvider;"";"";Scoped;"";Microsoft.AspNetCore.Components.Forms.AntiforgeryStateProvider;Microsoft.AspNetCore.Components.Endpoints.Forms.EndpointAntiforgeryStateProvider;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Components.Forms.Mapping.IFormValueMapper Lifetime: Scoped ImplementationType: Microsoft.AspNetCore.Components.Endpoints.HttpContextFormValueMapper";Microsoft.AspNetCore.Components.Endpoints.HttpContextFormValueMapper;"";"";Scoped;"";Microsoft.AspNetCore.Components.Forms.Mapping.IFormValueMapper;Microsoft.AspNetCore.Components.Endpoints.HttpContextFormValueMapper;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Components.ICascadingValueSupplier Lifetime: Scoped ImplementationFactory: Microsoft.AspNetCore.Components.CascadingValueSource`1[Microsoft.AspNetCore.Http.HttpContext] <TryAddCascadingValue>b__0(System.IServiceProvider)";"";"";System.Func`2[System.IServiceProvider,Microsoft.AspNetCore.Components.CascadingValueSource`1[Microsoft.AspNetCore.Http.HttpContext]];Scoped;"";Microsoft.AspNetCore.Components.ICascadingValueSupplier;"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";System.Func`2[System.IServiceProvider,Microsoft.AspNetCore.Components.CascadingValueSource`1[Microsoft.AspNetCore.Http.HttpContext]];"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Components.ICascadingValueSupplier Lifetime: Scoped ImplementationFactory: Microsoft.AspNetCore.Components.Forms.Mapping.SupplyParameterFromFormValueProvider <AddSupplyValueFromFormProvider>b__0_0(System.IServiceProvider)";"";"";System.Func`2[System.IServiceProvider,Microsoft.AspNetCore.Components.Forms.Mapping.SupplyParameterFromFormValueProvider];Scoped;"";Microsoft.AspNetCore.Components.ICascadingValueSupplier;"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";System.Func`2[System.IServiceProvider,Microsoft.AspNetCore.Components.Forms.Mapping.SupplyParameterFromFormValueProvider];"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Components.ICascadingValueSupplier Lifetime: Scoped ImplementationType: Microsoft.AspNetCore.Components.Routing.SupplyParameterFromQueryValueProvider";Microsoft.AspNetCore.Components.Routing.SupplyParameterFromQueryValueProvider;"";"";Scoped;"";Microsoft.AspNetCore.Components.ICascadingValueSupplier;Microsoft.AspNetCore.Components.Routing.SupplyParameterFromQueryValueProvider;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Components.Infrastructure.ComponentStatePersistenceManager Lifetime: Scoped ImplementationType: Microsoft.AspNetCore.Components.Infrastructure.ComponentStatePersistenceManager";Microsoft.AspNetCore.Components.Infrastructure.ComponentStatePersistenceManager;"";"";Scoped;"";Microsoft.AspNetCore.Components.Infrastructure.ComponentStatePersistenceManager;Microsoft.AspNetCore.Components.Infrastructure.ComponentStatePersistenceManager;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Components.Infrastructure.RazorComponentEndpointDataSourceFactory Lifetime: Singleton ImplementationType: Microsoft.AspNetCore.Components.Infrastructure.RazorComponentEndpointDataSourceFactory";Microsoft.AspNetCore.Components.Infrastructure.RazorComponentEndpointDataSourceFactory;"";"";Singleton;"";Microsoft.AspNetCore.Components.Infrastructure.RazorComponentEndpointDataSourceFactory;Microsoft.AspNetCore.Components.Infrastructure.RazorComponentEndpointDataSourceFactory;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Components.NavigationManager Lifetime: Scoped ImplementationType: Microsoft.AspNetCore.Components.Endpoints.HttpNavigationManager";Microsoft.AspNetCore.Components.Endpoints.HttpNavigationManager;"";"";Scoped;"";Microsoft.AspNetCore.Components.NavigationManager;Microsoft.AspNetCore.Components.Endpoints.HttpNavigationManager;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Components.PersistentComponentState Lifetime: Scoped ImplementationFactory: Microsoft.AspNetCore.Components.PersistentComponentState <AddRazorComponents>b__0_2(System.IServiceProvider)";"";"";System.Func`2[System.IServiceProvider,Microsoft.AspNetCore.Components.PersistentComponentState];Scoped;"";Microsoft.AspNetCore.Components.PersistentComponentState;"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";System.Func`2[System.IServiceProvider,Microsoft.AspNetCore.Components.PersistentComponentState];"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Components.ResourceCollectionProvider Lifetime: Scoped ImplementationType: Microsoft.AspNetCore.Components.ResourceCollectionProvider";Microsoft.AspNetCore.Components.ResourceCollectionProvider;"";"";Scoped;"";Microsoft.AspNetCore.Components.ResourceCollectionProvider;Microsoft.AspNetCore.Components.ResourceCollectionProvider;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
